0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:06 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:08 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:12 +0900] "GET /FoodTrip/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:12 +0900] "GET /FoodTrip/ HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:12 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 500 4046
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:12 +0900] "GET /FoodTrip/member/login HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:14 +0900] "POST /FoodTrip/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:14 +0900] "GET /FoodTrip/ HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:16 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:48:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:49:05 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:49:34 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:49:35 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:49:39 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:49:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:49:40 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:57 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:58 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Dec/2024:12:51:59 +0900] "GET /FoodTrip/board/boards HTTP/1.1" 200 1529
